id,type,purpose,stack,predicted_count_users,payment_system,geolocation,budget,design,adaptability,product_delivery,integration_systems,integration_systems_API,required_DB,languages,final_price,development_time,
61,site,landing_page,WordPress,1900,yes,yes,500-1500,exist,adaptive,Saas,yes,no,yes,ru,980,59,72079
62,site,landing_page,WordPress,1900,no,yes,0-1000,template,adaptive,Saas,yes,no,yes,ru,720,45,52956
63,site,landing_page,Tilda,1000,no,yes,100-1000,template,adaptive,Saas,no,no,no,"ru, en",528,47,"38834,4"
64,site,landing_page,Tilda,1000,yes,yes,100-1000,template,adaptive,Saas,no,no,yes,"ru, en",650,61,"47807,5"
65,site,landing_page,Tilda,1000,yes,yes,100-1000,template,adaptive,Saas,yes,no,no,"ru, en",740,68,54427
66,site,landing_page,Tilda,1000,yes,yes,100-1000,individual,adaptive,Saas,yes,no,no,"ru, en",1045,81,"76859,75"
67,site,landing_page,Tilda,1000,no,yes,100-1000,exist,adaptive,Saas,no,no,no,"ru, en",480,23,35304
68,site,landing_page,Tilda,1000,no,yes,100-1000,exist,adaptive,Saas,yes,no,no,"ru, en",590,38,"43394,5"
69,site,blog,Tilda,500,no,yes,100-1000,template,adaptive,Saas,no,no,yes,"ru, en",610,23,"44865,5"
70,site,blog,JS,100,yes,no,0-1000,exist,adaptive,full_deployment,no,no,yes,ru,780,44,57369
71,site,blog,Tilda,800,no,yes,500-100,individual,adaptive,full_deployment,yes,no,yes,ru,862,90,"63400,1"
72,site,landing_page,WordPress,500,no,yes,100-2000,individual,adaptive,full_deployment,yes,yes,no,ru,1900,142,139745
73,site,shop,Django,1500,yes,yes,1000-2000,individual,adaptive,integration,yes,no,yes,"ru, en",1360,106,100028
73,site,shop,WordPress,200,yes,yes,1000-2000,template,adaptive,integration,yes,no,yes,"ru, en",1506,129,"110766,3"
